location,year,month,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_cases,new_cases,total_deaths,new_deaths,vaccine_types_used
Czechia,2021,4,72572445,48320639.0,24278231.0,47718289.0,98426.0,843904.0,2846.0,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
Czechia,2021,5,132136838,96323284.0,36548785.0,51169649.0,30514.0,924449.0,841.0,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
Czechia,2021,6,207433676,138931017.0,70646382.0,49954479.0,6015.0,907007.0,195.0,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
Czechia,2021,7,292981681,167296291.0,129152072.0,51784975.0,6289.0,940442.0,71.0,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
Czechia,2021,8,342545707,181424867.0,166607709.0,51968562.0,5613.0,941777.0,46.0,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
Czechia,2021,9,351513841,181387254.0,176771710.0,50545691.0,12300.0,912799.0,55.0,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
Czechia,2021,10,371984222,190889738.0,187499978.0,53159199.0,72509.0,947459.0,294.0,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
Czechia,2021,11,386584785,194084416.0,187126169.0,57899447.0,387140.0,951756.0,2316.0,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
Czechia,2021,12,448241536,209867027.0,202867280.0,72970861.0,325687.0,1078261.0,3060.0,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
Czechia,2022,1,502805444,213507331.0,208722816.0,82401574.0,537725.0,1140587.0,1080.0,"Johnson&Johnson, Moderna, Pfizer/BioNTech, Oxford/AstraZeneca"
Czechia,2022,2,461632235,194271590.0,191081651.0,94901991.0,560874.0,1061831.0,1383.0,"Johnson&Johnson, Moderna, Pfizer/BioNTech, Oxford/AstraZeneca"
Czechia,2022,3,479525172,201488829.0,198747502.0,114926914.0,247707.0,1216143.0,1100.0,"Johnson&Johnson, Moderna, Pfizer/BioNTech, Novavax, Oxford/AstraZeneca"
Denmark,2020,12,9,87206.0,3.0,3750144.0,82998.0,31323.0,461.0,Pfizer/BioNTech
Denmark,2021,1,701798,3914359.0,413437.0,5764387.0,34993.0,53990.0,827.0,"Moderna, Pfizer/BioNTech, Johnson&Johnson, Oxford/AstraZeneca"
Denmark,2021,2,1706000,6928658.0,4038743.0,5735358.0,12723.0,63827.0,236.0,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
Denmark,2021,3,3395495,17669179.0,8013520.0,6859466.0,21409.0,74189.0,58.0,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
Denmark,2021,4,7616671,29685056.0,14158815.0,7228946.0,19951.0,73575.0,64.0,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
Denmark,2021,5,11238714,51867672.0,30514474.0,8258194.0,30673.0,77569.0,33.0,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
Denmark,2021,6,17235628,83596716.0,46448976.0,8689435.0,12450.0,75772.0,18.0,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
Denmark,2021,7,31413403,117803489.0,79616738.0,9436465.0,23130.0,78769.0,15.0,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
Denmark,2021,8,31021468,133433228.0,116807162.0,10283943.0,28886.0,79414.0,35.0,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
Denmark,2021,9,32686421,132375544.0,128601933.0,10595666.0,13103.0,78558.0,72.0,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
Denmark,2021,10,42006095,137869736.0,135961288.0,11467658.0,28987.0,83207.0,58.0,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
Denmark,2021,11,35446925,135241144.0,133172652.0,12973353.0,99618.0,83539.0,181.0,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
Denmark,2021,12,51720245,145500131.0,140454463.0,18863612.0,314996.0,95202.0,312.0,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
Denmark,2022,1,47498526,149500276.0,146272986.0,37161764.0,940172.0,108426.0,488.0,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
Denmark,2022,2,48493323,135471545.0,134118017.0,65635297.0,1022269.0,116103.0,857.0,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
Denmark,2022,3,48189875,135537794.0,134386539.0,91674184.0,293935.0,162022.0,1086.0,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
Ecuador,2021,1,60221,60221.0,0.0,7125483.0,38316.0,445664.0,825.0,"Pfizer/BioNTech, Sinovac"
Ecuador,2021,2,826294,759601.0,66693.0,7472445.0,35327.0,428747.0,952.0,"Pfizer/BioNTech, Sinovac, Oxford/AstraZeneca"
Ecuador,2021,3,8034432,7160932.0,873500.0,9480656.0,42600.0,505563.0,1036.0,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac"
Ecuador,2021,4,26913588,22080993.0,4832595.0,10654344.0,53107.0,527926.0,1784.0,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac"
Ecuador,2021,5,68309832,54258944.0,14050888.0,12663896.0,44175.0,609921.0,1941.0,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac"
Ecuador,2021,6,116414733,81638453.0,34776280.0,13253196.0,32467.0,633587.0,988.0,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac"
Ecuador,2021,7,260270818,200169876.0,60100942.0,14679591.0,28868.0,787795.0,1285.0,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac"
Ecuador,2021,8,499614559,328665603.0,172114322.0,15358152.0,14371.0,990974.0,628.0,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac, CanSino"
Ecuador,2021,9,608943915,209590247.0,185612895.0,15186087.0,8434.0,976576.0,525.0,"CanSino, Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac"
Ecuador,2021,10,669388653,368563300.0,312651296.0,15921775.0,7085.0,1019843.0,196.0,"CanSino, Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac"
Ecuador,2021,11,711310367,395270622.0,322255921.0,15671432.0,10478.0,992660.0,316.0,"CanSino, Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac"
Ecuador,2021,12,822388656,435116835.0,376639161.0,16621960.0,22085.0,1040620.0,385.0,"CanSino, Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac"
Ecuador,2022,1,806628802,448752206.0,404492516.0,19476807.0,182620.0,1057631.0,852.0,"CanSino, Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac"
Estonia,2021,1,96375,505741.0,79945.0,1127645.0,16218.0,10037.0,190.0,"Pfizer/BioNTech, Moderna"
Estonia,2021,2,330856,1427751.0,675720.0,1495578.0,21392.0,14034.0,170.0,"Moderna, Pfizer/BioNTech, Oxford/AstraZeneca"
Estonia,2021,3,835761,4464964.0,1736282.0,2713051.0,40824.0,23021.0,313.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
Estonia,2021,4,1925189,8249472.0,2787089.0,3472209.0,15595.0,31686.0,259.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Johnson&Johnson"
